2020-04-02 15:15:54.503 [restartedMain,] INFO  o.s.b.d.restart.ChangeableUrls[225] - The Class-Path manifest attribute in D:\Repository\org\glassfish\jaxb\jaxb-runtime\2.3.2\jaxb-runtime-2.3.2.jar referenced one or more files that do not exist: file:/D:/Repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/jakarta.xml.bind-api-2.3.2.jar,file:/D:/Repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/txw2-2.3.2.jar,file:/D:/Repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/istack-commons-runtime-3.0.8.jar,file:/D:/Repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/stax-ex-1.8.1.jar,file:/D:/Repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/FastInfoset-1.2.16.jar,file:/D:/Repository/org/glassfish/jaxb/jaxb-runtime/2.3.2/jakarta.activation-api-1.2.1.jar
2020-04-02 15:15:54.505 [restartedMain,] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor[225] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-04-02 15:15:55.112 [restartedMain,] INFO  com.guoyu.elk.ElkApplication[655] - The following profiles are active: dev
2020-04-02 15:15:55.444 [restartedMain,] INFO  o.s.d.r.c.RepositoryConfigurationDelegate[249] - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-02 15:15:55.444 [restartedMain,] INFO  o.s.d.r.c.RepositoryConfigurationDelegate[127] - Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
2020-04-02 15:15:55.479 [restartedMain,] INFO  o.s.d.r.c.RepositoryConfigurationDelegate[187] - Finished Spring Data repository scanning in 33ms. Found 2 Elasticsearch repository interfaces.
2020-04-02 15:15:55.592 [restartedMain,] INFO  o.s.d.r.c.RepositoryConfigurationDelegate[249] - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-02 15:15:55.592 [restartedMain,] INFO  o.s.d.r.c.RepositoryConfigurationDelegate[127] - Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode.
2020-04-02 15:15:55.604 [restartedMain,] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport[348] - Spring Data Reactive Elasticsearch - Could not safely identify store assignment for repository candidate interface com.guoyu.elk.jpadao.RootDao. If you want this repository to be a Reactive Elasticsearch repository, consider annotating your entities with one of these annotations: org.springframework.data.elasticsearch.annotations.Document (preferred), or consider extending one of the following types with your repository: org.springframework.data.elasticsearch.repository.ReactiveElasticsearchRepository.
2020-04-02 15:15:55.604 [restartedMain,] INFO  o.s.d.r.c.RepositoryConfigurationDelegate[187] - Finished Spring Data repository scanning in 9ms. Found 0 Reactive Elasticsearch repository interfaces.
2020-04-02 15:15:55.608 [restartedMain,] INFO  o.s.d.r.c.RepositoryConfigurationDelegate[249] - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-02 15:15:55.608 [restartedMain,] INFO  o.s.d.r.c.RepositoryConfigurationDelegate[127] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-04-02 15:15:55.616 [restartedMain,] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport[348] - Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.guoyu.elk.dao.BookDao. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
2020-04-02 15:15:55.616 [restartedMain,] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport[348] - Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.guoyu.elk.dao.UserDao. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
